Date,BO1 Comdty_(CBOT Soybean Oil Future),CO1 Comdty_(ICE Brent Crude Oil Future),QS1 Comdty_(ICE Gas Oil Future),PAL2MALY Index_(Crude Palm Oil fob Spot),USDMYR Curncy_(US DOLLAR/MALAYSIAN RINGGIT),NOAAONI Index_(NOAA Oceanic Nino Index ONI),PASTTOTL Index_(Total Palm Oil Inventory Data),DXY Curncy_(DOLLAR INDEX SPOT)
28-02-11,57.53,104.03,875.09,3771.75,3.0445,-1.1,1481.1689999999999,77.778
31-03-11,56.67,114.67,970.6,3462.5,3.0355,-0.8,1614.185,76.289
29-04-11,58.02,123.09,1019.13,3377.81,3.011,-0.6,1670.7920000000001,74.70100000000001
31-05-11,57.12,114.52,939.68,3401.78,3.0148,-0.5,1922.655,74.943
30-06-11,56.7,113.9,941.52,3274.45,3.0287,-0.4,2054.708,74.695
29-07-11,56.39,116.75,964.65,3098.4,2.9943,-0.5,2008.704,74.734
31-08-11,55.6,109.93,932.25,3124.75,2.9847,-0.7,1899.8129999999999,74.23899999999999
30-09-11,55.34,109.9,929.24,3052.4,3.0789999999999997,-0.9,2163.292,76.916
31-10-11,51.23,108.79,925.61,2861.45,3.1373,-1.1,2131.757,77.156
30-11-11,50.73,110.49,965.19,3096.75,3.1541,-1.1,2096.883,77.958
30-12-11,50.13,107.72,922.56,3079.57,3.1593,-1.0,2057.2960000000003,79.62899999999999
31-01-12,51.46,111.45,953.19,3172.29,3.1136,-0.8,2020.881,80.33800000000001
29-02-12,53.08,119.06,1000.18,3146.11,3.023,-0.6,2061.698,78.953
30-03-12,54.43,124.54,1025.13,3315.59,3.0465,-0.5,1956.881,79.544
30-04-12,55.91,120.49,1003.36,3495.6,3.0615,-0.4,1850.731,79.43
31-05-12,51.63,110.29,931.47,3207.48,3.1007,-0.2,1785.714,80.98899999999999
29-06-12,49.8,95.93,838.33,2964.26,3.1813,0.1,1699.145,82.245
31-07-12,53.38,102.72,887.56,3013.52,3.1666,0.3,1999.0929999999998,83.023
31-08-12,53.99,112.68,964.65,2845.22,3.1171,0.3,2112.797,82.15899999999999
28-09-12,55.12,113.03,986.4,2667.39,3.0804,0.3,2480.99,79.88
31-10-12,51.0,111.52,979.9,2281.3,3.0554,0.2,2505.173,79.737
30-11-12,48.61,109.53,936.58,2198.6,3.0584,0.0,2565.745,80.686
31-12-12,49.55,109.2,927.76,2076.18,3.0561,-0.2,2627.4190000000003,79.75
31-01-13,51.11,112.32,959.76,2237.17,3.0426,-0.4,2563.345,79.87100000000001
28-02-13,51.35,116.07,992.11,2402.5,3.0980000000000003,-0.3,2425.849,80.60300000000001
29-03-13,50.12,109.54,914.49,2349.72,3.1082,-0.2,2160.81,82.63
30-04-13,49.29,103.42,865.92,2296.3,3.0488,-0.2,1913.531,82.53299999999999
31-05-13,49.18,103.28,860.82,2290.05,3.0207,-0.3,1816.3410000000001,83.22200000000001
28-06-13,48.02,103.34,873.58,2389.22,3.1445,-0.3,1647.604,81.872
31-07-13,45.39,107.43,910.53,2320.48,3.1921,-0.4,1674.2579999999998,82.816
30-08-13,42.87,110.45,934.8,2358.68,3.2774,-0.4,1668.132,81.482
30-09-13,42.45,111.25,938.73,2354.93,3.2499,-0.3,1783.773,81.206
31-10-13,40.81,109.44,929.15,2388.07,3.1751,-0.2,1845.9360000000001,79.869
29-11-13,40.7,107.9,913.94,2577.72,3.1993,-0.2,1978.685,80.839
31-12-13,39.68,110.7,938.71,2574.95,3.2522,-0.3,1987.111,80.318
31-01-14,37.82,107.11,913.55,2534.31,3.304,-0.4,1935.215,80.801
28-02-14,39.63,108.83,920.08,2669.92,3.3081,-0.4,1656.931,80.437
31-03-14,42.23,107.75,901.17,2850.38,3.2822,-0.2,1688.0929999999998,79.872
30-04-14,42.37,108.09,907.68,2696.95,3.2555,0.1,1766.19,79.852
30-05-14,40.62,109.24,906.25,2579.3,3.2297,0.3,1841.3410000000001,79.964
30-06-14,39.53,111.97,912.52,2447.13,3.219,0.2,1656.756,80.442
31-07-14,36.95,108.19,890.3,2401.53,3.1827,0.1,1684.756,80.535
29-08-14,33.86,103.4,869.75,2152.17,3.177,0.0,2053.199,81.85300000000001
30-09-14,32.3,98.57,833.69,2089.26,3.2173,0.2,2090.529,84.366
31-10-14,32.79,88.05,754.73,2189.0,3.2689,0.4,2166.311,85.681
28-11-14,32.72,79.63,707.39,2219.85,3.3473,0.6,2280.561,87.72200000000001
31-12-14,32.06,63.27,572.32,2174.39,3.4799,0.7,2015.789,89.186
30-01-15,32.19,49.76,479.15,2287.26,3.5808,0.6,1761.895,92.815
27-02-15,31.66,58.79,564.42,2271.72,3.5991,0.6,1736.1589999999999,94.391
31-03-15,31.07,56.94,539.83,2232.55,3.6807,0.6,1858.392,97.897
30-04-15,31.37,61.14,560.27,2154.11,3.634,0.8,2182.012,97.51899999999999
29-05-15,32.59,65.61,600.64,2161.25,3.6027,1.0,2239.486,95.23299999999999
30-06-15,33.48,63.75,579.91,2263.33,3.7399,1.2,2141.91,95.169
31-07-15,31.6,56.76,521.67,2181.39,3.8019,1.5,2257.897,96.925
31-08-15,28.57,48.21,464.44,1951.5,4.0639,1.8,2491.966,96.38799999999999
30-09-15,26.81,48.54,472.02,2020.61,4.3069,2.1,2641.292,95.78299999999999
30-10-15,28.38,49.29,459.09,2203.1,4.2554,2.4,2835.348,95.71799999999999
30-11-15,27.88,45.93,436.43,2113.0,4.3145,2.5,2910.929,99.07
31-12-15,30.82,38.9,355.58,2164.52,4.2801,2.6,2633.94,98.30799999999999
29-01-16,30.01,31.93,293.27,2266.03,4.3396,2.5,2308.778,98.986
29-02-16,31.16,33.53,309.0,2427.82,4.1809,2.2,2170.341,97.039
31-03-16,32.48,39.79,356.89,2541.84,4.0681,1.7,1885.631,96.266
29-04-16,33.95,43.34,372.0,2648.98,3.9003,1.0,1804.495,94.404
31-05-16,32.21,47.65,424.69,2619.25,4.0442,0.5,1649.859,94.568
30-06-16,31.91,49.93,444.49,2539.5,4.0799,0.0,1774.625,94.663
29-07-16,30.4,46.53,407.73,2347.03,4.0188,-0.3,1770.3670000000002,96.52799999999999
31-08-16,32.33,47.16,410.95,2663.07,4.026,-0.6,1464.0810000000001,95.38
30-09-16,32.81,47.24,420.59,2854.63,4.1105,-0.7,1546.7579999999998,95.479
31-10-16,34.44,51.39,462.99,2735.03,4.1736,-0.7,1574.471,97.714
30-11-16,35.04,47.08,427.38,2914.48,4.3388,-0.7,1663.7279999999998,99.76799999999999
30-12-16,36.4,54.92,486.17,3209.35,4.4614,-0.6,1666.6729999999998,102.04
31-01-17,35.11,55.51,489.13,3276.1,4.4585,-0.3,1541.088,101.2
28-02-17,33.7,56.0,496.0,3212.68,4.4438,-0.1,1459.361,100.695
31-03-17,32.93,52.54,465.41,2948.41,4.4376,0.1,1553.219,100.76
28-04-17,31.54,53.82,479.8,2743.97,4.4053,0.3,1600.126,100.06700000000001
31-05-17,32.49,51.39,455.32,2818.7,4.3138,0.4,1557.354,98.23899999999999
30-06-17,31.97,47.55,424.7,2676.05,4.2771,0.4,1526.839,96.943
31-07-17,33.55,49.15,452.94,2626.88,4.2899,0.2,1784.369,94.916
31-08-17,33.92,51.87,481.77,2647.61,4.2842,-0.1,1941.717,93.175
29-09-17,34.32,55.51,530.5,2776.75,4.2082,-0.4,2015.922,92.34299999999999
31-10-17,33.71,57.65,531.15,2742.7,4.2298,-0.7,2203.383,93.712
30-11-17,34.41,62.87,559.45,2654.14,4.1681,-0.9,2553.739,93.963
29-12-17,33.16,64.08,571.69,2401.06,4.0775,-1.0,2732.093,93.398
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
