Date,QS1 Comdty_PX_LAST
04-08-05,542.5
05-08-05,542.0
08-08-05,565.75
09-08-05,566.75
10-08-05,573.5
11-08-05,597.75
12-08-05,601.0
15-08-05,589.25
16-08-05,588.25
17-08-05,575.75
18-08-05,568.25
19-08-05,583.5
22-08-05,592.75
23-08-05,587.75
24-08-05,590.25
25-08-05,597.5
26-08-05,595.5
30-08-05,623.5
31-08-05,637.0
01-09-05,652.5
02-09-05,637.0
05-09-05,622.5
06-09-05,632.75
07-09-05,623.0
08-09-05,596.25
09-09-05,601.75
12-09-05,568.75
13-09-05,575.25
14-09-05,591.0
15-09-05,591.25
16-09-05,573.0
19-09-05,621.5
20-09-05,599.25
21-09-05,623.75
22-09-05,628.25
23-09-05,589.0
26-09-05,604.75
27-09-05,621.75
28-09-05,640.5
29-09-05,629.25
30-09-05,626.75
03-10-05,628.75
04-10-05,609.0
05-10-05,615.75
06-10-05,595.0
07-10-05,596.5
10-10-05,596.5
11-10-05,609.5
12-10-05,611.75
13-10-05,605.75
14-10-05,582.75
17-10-05,601.75
18-10-05,590.25
19-10-05,584.0
20-10-05,567.0
21-10-05,555.75
24-10-05,557.75
25-10-05,570.25
26-10-05,586.25
27-10-05,574.75
28-10-05,568.5
31-10-05,552.0
01-11-05,553.0
02-11-05,539.75
03-11-05,547.25
04-11-05,548.0
07-11-05,534.0
08-11-05,530.5
09-11-05,542.25
10-11-05,525.75
11-11-05,520.25
14-11-05,528.0
15-11-05,521.5
16-11-05,518.5
17-11-05,523.25
18-11-05,509.5
21-11-05,519.25
22-11-05,524.75
23-11-05,505.75
24-11-05,501.0
25-11-05,493.75
28-11-05,494.25
29-11-05,496.75
30-11-05,492.5
01-12-05,511.75
02-12-05,523.75
05-12-05,538.5
06-12-05,523.75
07-12-05,518.5
08-12-05,522.75
09-12-05,529.25
12-12-05,523.75
13-12-05,539.0
14-12-05,542.5
15-12-05,543.75
16-12-05,515.25
19-12-05,501.25
20-12-05,507.0
21-12-05,512.75
22-12-05,518.75
23-12-05,504.0
27-12-05,496.0
28-12-05,500.25
29-12-05,506.5
30-12-05,510.75
03-01-06,549.25
04-01-06,541.5
05-01-06,543.25
06-01-06,545.0
09-01-06,536.75
10-01-06,531.25
11-01-06,519.25
12-01-06,536.5
13-01-06,521.75
16-01-06,539.75
17-01-06,547.25
18-01-06,548.5
19-01-06,546.25
20-01-06,565.25
23-01-06,569.25
24-01-06,564.25
25-01-06,546.5
26-01-06,549.75
27-01-06,554.5
30-01-06,558.0
31-01-06,560.5
01-02-06,569.5
02-02-06,554.5
03-02-06,548.5
06-02-06,553.75
07-02-06,537.75
08-02-06,532.25
09-02-06,530.5
10-02-06,523.5
13-02-06,523.75
14-02-06,513.25
15-02-06,518.75
16-02-06,516.0
17-02-06,527.25
20-02-06,542.0
21-02-06,532.25
22-02-06,521.0
23-02-06,528.5
24-02-06,540.75
27-02-06,531.25
28-02-06,537.25
01-03-06,549.75
02-03-06,561.5
03-03-06,563.25
06-03-06,561.5
07-03-06,544.5
08-03-06,532.75
09-03-06,536.5
10-03-06,531.75
13-03-06,543.0
14-03-06,557.0
15-03-06,567.25
16-03-06,555.25
17-03-06,565.5
20-03-06,555.0
21-03-06,547.0
22-03-06,558.25
23-03-06,558.25
24-03-06,562.75
27-03-06,558.75
28-03-06,572.75
29-03-06,575.5
30-03-06,583.0
31-03-06,582.0
03-04-06,593.75
04-04-06,580.0
05-04-06,586.5
06-04-06,589.0
07-04-06,585.0
10-04-06,596.0
11-04-06,596.5
12-04-06,612.25
13-04-06,608.0
17-04-06,615.75
18-04-06,627.5
19-04-06,640.0
20-04-06,633.0
21-04-06,641.0
24-04-06,641.5
25-04-06,638.5
26-04-06,640.75
27-04-06,626.75
28-04-06,627.75
02-05-06,650.25
03-05-06,639.75
04-05-06,620.0
05-05-06,616.25
08-05-06,606.75
09-05-06,628.75
10-05-06,629.0
11-05-06,655.5
12-05-06,646.0
15-05-06,619.0
16-05-06,620.25
17-05-06,612.0
18-05-06,612.0
19-05-06,607.25
22-05-06,604.75
23-05-06,631.0
24-05-06,622.0
25-05-06,619.0
26-05-06,631.25
30-05-06,637.0
31-05-06,619.25
01-06-06,632.0
02-06-06,632.5
05-06-06,639.5
06-06-06,633.5
07-06-06,629.75
08-06-06,618.0
09-06-06,639.0
12-06-06,638.0
13-06-06,613.75
14-06-06,613.5
15-06-06,618.75
16-06-06,609.5
19-06-06,607.5
20-06-06,613.5
21-06-06,612.75
22-06-06,625.25
23-06-06,627.75
26-06-06,624.75
27-06-06,637.5
28-06-06,630.5
29-06-06,643.25
30-06-06,643.75
03-07-06,652.75
04-07-06,643.0
05-07-06,645.75
06-07-06,645.25
07-07-06,653.75
10-07-06,635.75
11-07-06,643.25
12-07-06,636.25
13-07-06,659.75
14-07-06,661.5
17-07-06,653.75
18-07-06,655.5
19-07-06,622.0
20-07-06,625.25
21-07-06,627.0
24-07-06,621.75
25-07-06,622.25
26-07-06,631.25
27-07-06,638.25
28-07-06,629.0
31-07-06,632.25
01-08-06,655.5
02-08-06,666.0
03-08-06,657.75
04-08-06,661.0
07-08-06,674.75
08-08-06,675.5
09-08-06,675.0
10-08-06,654.0
11-08-06,651.5
14-08-06,638.5
15-08-06,649.5
16-08-06,649.0
17-08-06,635.5
18-08-06,637.75
21-08-06,648.75
22-08-06,651.75
23-08-06,643.0
24-08-06,648.75
25-08-06,658.25
28-08-06,631.75
29-08-06,633.5
30-08-06,628.25
31-08-06,634.75
01-09-06,634.0
04-09-06,622.0
05-09-06,625.25
06-09-06,616.75
07-09-06,605.5
08-09-06,600.0
11-09-06,581.25
12-09-06,576.5
13-09-06,556.25
14-09-06,551.75
15-09-06,544.75
18-09-06,554.0
19-09-06,562.0
20-09-06,537.5
21-09-06,539.25
22-09-06,533.75
25-09-06,529.25
26-09-06,539.25
27-09-06,534.0
28-09-06,556.5
29-09-06,546.25
02-10-06,550.0
03-10-06,530.75
04-10-06,530.0
05-10-06,542.5
06-10-06,533.5
09-10-06,553.25
10-10-06,540.5
11-10-06,541.0
12-10-06,540.0
13-10-06,550.0
16-10-06,547.0
17-10-06,557.5
18-10-06,549.0
19-10-06,534.75
20-10-06,533.75
23-10-06,526.25
24-10-06,536.5
25-10-06,548.75
26-10-06,543.5
27-10-06,537.75
30-10-06,523.75
31-10-06,516.25
01-11-06,517.25
02-11-06,519.25
03-11-06,525.5
06-11-06,538.5
07-11-06,532.75
08-11-06,539.5
09-11-06,545.5
10-11-06,539.5
13-11-06,521.75
14-11-06,528.75
15-11-06,534.0
16-11-06,541.0
17-11-06,519.75
20-11-06,523.5
21-11-06,537.5
22-11-06,529.25
23-11-06,529.25
24-11-06,536.25
27-11-06,538.75
28-11-06,547.75
29-11-06,555.5
30-11-06,566.75
01-12-06,565.5
04-12-06,556.75
05-12-06,557.25
06-12-06,556.0
07-12-06,550.0
08-12-06,559.5
11-12-06,543.0
12-12-06,545.0
13-12-06,547.75
14-12-06,554.0
15-12-06,551.0
18-12-06,543.75
19-12-06,536.75
20-12-06,548.75
21-12-06,538.5
22-12-06,537.75
26-12-06,519.25
27-12-06,524.75
28-12-06,520.5
29-12-06,516.5
02-01-07,522.25
03-01-07,506.25
04-01-07,498.75
05-01-07,490.5
08-01-07,492.25
09-01-07,488.0
10-01-07,487.5
11-01-07,486.25
12-01-07,470.75
15-01-07,473.75
16-01-07,470.25
17-01-07,470.25
18-01-07,463.75
19-01-07,475.75
22-01-07,490.5
23-01-07,485.0
24-01-07,490.0
25-01-07,495.75
26-01-07,494.0
29-01-07,493.5
30-01-07,492.75
31-01-07,511.75
01-02-07,518.25
02-02-07,513.5
05-02-07,528.5
06-02-07,522.25
07-02-07,523.0
08-02-07,518.25
09-02-07,529.0
12-02-07,512.0
13-02-07,516.75
14-02-07,505.5
15-02-07,501.25
16-02-07,512.0
19-02-07,514.25
20-02-07,502.25
21-02-07,517.5
22-02-07,525.75
23-02-07,539.5
26-02-07,541.25
27-02-07,543.5
28-02-07,538.0
01-03-07,549.25
02-03-07,548.5
05-03-07,537.25
06-03-07,536.25
07-03-07,547.0
08-03-07,545.0
09-03-07,540.0
12-03-07,529.5
13-03-07,537.75
14-03-07,531.0
15-03-07,528.75
16-03-07,536.75
19-03-07,532.25
20-03-07,529.5
21-03-07,528.5
22-03-07,537.5
23-03-07,543.75
26-03-07,554.25
27-03-07,554.75
28-03-07,576.25
29-03-07,575.75
30-03-07,591.75
02-04-07,589.25
03-04-07,580.0
04-04-07,584.0
05-04-07,586.0
09-04-07,590.75
10-04-07,585.0
11-04-07,593.5
12-04-07,596.0
13-04-07,604.0
16-04-07,591.5
17-04-07,585.75
18-04-07,570.25
19-04-07,573.5
20-04-07,575.5
23-04-07,588.5
24-04-07,593.75
25-04-07,590.25
26-04-07,593.0
27-04-07,591.75
30-04-07,595.0
01-05-07,601.0
02-05-07,587.0
03-05-07,582.25
04-05-07,588.5
07-05-07,567.75
08-05-07,574.5
09-05-07,571.5
10-05-07,580.5
11-05-07,592.0
14-05-07,592.25
15-05-07,593.25
16-05-07,588.5
17-05-07,599.0
18-05-07,602.25
21-05-07,604.25
22-05-07,603.75
23-05-07,606.25
24-05-07,613.0
25-05-07,605.5
28-05-07,597.75
29-05-07,597.0
30-05-07,586.25
31-05-07,588.0
01-06-07,595.25
04-06-07,615.5
05-06-07,615.25
06-06-07,615.0
07-06-07,620.75
08-06-07,608.5
11-06-07,601.75
12-06-07,601.75
13-06-07,610.0
14-06-07,619.0
15-06-07,623.5
18-06-07,628.5
19-06-07,626.5
20-06-07,617.0
21-06-07,632.75
22-06-07,630.75
25-06-07,622.0
26-06-07,620.0
27-06-07,625.75
28-06-07,626.5
29-06-07,626.0
02-07-07,628.75
03-07-07,638.0
04-07-07,638.25
05-07-07,641.25
06-07-07,648.25
09-07-07,650.0
10-07-07,657.0
11-07-07,653.5
12-07-07,660.0
13-07-07,655.0
16-07-07,657.5
17-07-07,649.0
18-07-07,650.25
19-07-07,655.0
20-07-07,654.75
23-07-07,646.25
24-07-07,639.5
25-07-07,637.0
26-07-07,656.25
27-07-07,646.0
30-07-07,644.75
31-07-07,654.75
01-08-07,658.25
02-08-07,650.75
03-08-07,643.5
06-08-07,625.5
07-08-07,617.75
08-08-07,619.25
09-08-07,621.75
10-08-07,617.75
13-08-07,631.5
14-08-07,615.0
15-08-07,633.0
16-08-07,616.75
17-08-07,627.0
20-08-07,617.0
21-08-07,614.75
22-08-07,608.0
23-08-07,615.5
24-08-07,620.0
27-08-07,617.0
28-08-07,626.25
29-08-07,635.25
30-08-07,636.5
31-08-07,641.25
03-09-07,646.75
04-09-07,649.5
05-09-07,651.25
06-09-07,667.25
07-09-07,667.75
10-09-07,673.5
11-09-07,681.25
12-09-07,686.5
13-09-07,689.75
14-09-07,694.5
17-09-07,696.5
18-09-07,697.5
19-09-07,704.25
20-09-07,704.75
21-09-07,710.5
24-09-07,707.25
25-09-07,695.75
26-09-07,689.5
27-09-07,705.5
28-09-07,712.5
01-10-07,688.0
02-10-07,675.25
03-10-07,679.25
04-10-07,679.5
05-10-07,692.25
08-10-07,676.75
09-10-07,683.5
10-10-07,683.75
11-10-07,704.25
12-10-07,698.25
15-10-07,709.5
16-10-07,722.75
17-10-07,728.0
18-10-07,731.5
19-10-07,731.0
22-10-07,722.25
23-10-07,719.0
24-10-07,732.75
25-10-07,742.25
26-10-07,757.0
29-10-07,770.25
30-10-07,769.25
31-10-07,787.0
01-11-07,786.25
02-11-07,798.75
05-11-07,803.0
06-11-07,819.0
07-11-07,825.0
08-11-07,830.0
09-11-07,822.75
12-11-07,813.25
13-11-07,791.25
14-11-07,807.5
15-11-07,807.5
16-11-07,819.25
19-11-07,821.25
20-11-07,845.75
21-11-07,848.25
22-11-07,848.75
23-11-07,855.75
26-11-07,850.5
27-11-07,843.0
28-11-07,821.5
29-11-07,829.25
30-11-07,792.75
03-12-07,777.0
04-12-07,783.0
05-12-07,791.25
06-12-07,783.75
07-12-07,780.0
10-12-07,784.5
11-12-07,780.5
12-12-07,812.75
13-12-07,825.25
14-12-07,823.5
17-12-07,814.75
18-12-07,811.75
19-12-07,814.0
20-12-07,821.0
21-12-07,817.25
24-12-07,830.0
26-12-07,843.0
27-12-07,847.0
28-12-07,845.0
31-12-07,839.25
02-01-08,848.0
03-01-08,854.25
04-01-08,840.25
07-01-08,811.75
08-01-08,833.0
09-01-08,836.75
10-01-08,804.5
11-01-08,797.5
14-01-08,808.5
15-01-08,798.5
16-01-08,780.5
17-01-08,786.0
18-01-08,789.5
21-01-08,778.0
22-01-08,776.75
23-01-08,770.75
24-01-08,774.25
25-01-08,797.75
28-01-08,795.25
29-01-08,810.5
30-01-08,810.25
31-01-08,797.0
01-02-08,790.5
04-02-08,790.0
05-02-08,776.0
06-02-08,774.0
07-02-08,776.0
08-02-08,805.25
11-02-08,833.75
12-02-08,828.75
13-02-08,833.25
14-02-08,847.25
15-02-08,853.5
18-02-08,853.75
19-02-08,879.25
20-02-08,885.0
21-02-08,888.0
22-02-08,890.0
25-02-08,899.5
26-02-08,898.75
27-02-08,893.75
28-02-08,907.5
29-02-08,915.0
03-03-08,914.25
04-03-08,892.0
05-03-08,930.0
06-03-08,939.75
07-03-08,943.75
10-03-08,947.5
11-03-08,950.25
12-03-08,957.5
13-03-08,977.75
14-03-08,997.75
17-03-08,957.5
18-03-08,975.25
19-03-08,957.0
20-03-08,922.0
24-03-08,928.5
25-03-08,909.25
26-03-08,947.25
27-03-08,962.75
28-03-08,962.0
31-03-08,969.0
01-04-08,915.25
02-04-08,911.5
03-04-08,942.75
04-04-08,947.5
07-04-08,982.0
08-04-08,981.25
09-04-08,1008.5
10-04-08,1031.75
11-04-08,1013.0
14-04-08,1017.75
15-04-08,1039.75
16-04-08,1044.75
17-04-08,1037.75
18-04-08,1051.0
21-04-08,1057.0
22-04-08,1068.5
23-04-08,1068.25
24-04-08,1076.25
25-04-08,1085.75
28-04-08,1083.75
29-04-08,1086.0
30-04-08,1073.25
01-05-08,1022.75
02-05-08,1054.75
05-05-08,1079.75
06-05-08,1097.0
07-05-08,1103.0
08-05-08,1131.75
09-05-08,1170.0
12-05-08,1177.5
13-05-08,1203.5
14-05-08,1195.75
15-05-08,1198.25
16-05-08,1201.5
19-05-08,1198.75
20-05-08,1230.5
21-05-08,1253.5
22-05-08,1273.0
23-05-08,1282.75
26-05-08,1279.5
27-05-08,1258.75
28-05-08,1245.0
29-05-08,1228.5
30-05-08,1187.75
02-06-08,1196.75
03-06-08,1185.25
04-06-08,1149.0
05-06-08,1155.25
06-06-08,1249.5
09-06-08,1258.5
10-06-08,1259.5
11-06-08,1254.25
12-06-08,1242.25
13-06-08,1247.75
16-06-08,1264.0
17-06-08,1237.75
18-06-08,1212.25
19-06-08,1221.75
20-06-08,1233.0
23-06-08,1244.0
24-06-08,1239.25
25-06-08,1206.25
26-06-08,1253.75
27-06-08,1266.75
30-06-08,1262.5
01-07-08,1283.75
02-07-08,1294.5
03-07-08,1318.25
04-07-08,1303.75
07-07-08,1276.75
08-07-08,1228.5
09-07-08,1240.25
10-07-08,1273.75
11-07-08,1325.25
14-07-08,1309.5
15-07-08,1253.5
16-07-08,1238.25
17-07-08,1250.0
18-07-08,1211.25
21-07-08,1212.0
22-07-08,1190.5
23-07-08,1170.25
24-07-08,1163.5
25-07-08,1155.75
28-07-08,1162.25
29-07-08,1138.5
30-07-08,1131.75
31-07-08,1127.75
01-08-08,1129.75
04-08-08,1109.0
05-08-08,1071.75
06-08-08,1054.5
07-08-08,1063.25
08-08-08,1025.5
11-08-08,1025.25
12-08-08,1012.0
13-08-08,1019.0
14-08-08,1016.25
15-08-08,991.25
18-08-08,1003.25
19-08-08,1010.0
20-08-08,1004.0
21-08-08,1069.5
22-08-08,1030.5
25-08-08,1020.75
26-08-08,1034.75
27-08-08,1041.5
28-08-08,1032.25
29-08-08,1030.25
01-09-08,993.25
02-09-08,985.5
03-09-08,979.25
04-09-08,976.5
05-09-08,957.0
08-09-08,961.0
09-09-08,940.75
10-09-08,922.25
11-09-08,928.75
12-09-08,939.75
15-09-08,899.0
16-09-08,882.0
17-09-08,880.75
18-09-08,900.0
19-09-08,906.5
22-09-08,965.75
23-09-08,969.25
24-09-08,986.25
25-09-08,968.0
26-09-08,962.75
29-09-08,919.75
30-09-08,914.5
01-10-08,910.75
02-10-08,887.75
03-10-08,875.0
06-10-08,823.75
07-10-08,811.0
08-10-08,783.75
09-10-08,782.0
10-10-08,723.75
13-10-08,746.25
14-10-08,744.25
15-10-08,704.75
16-10-08,674.5
17-10-08,678.0
20-10-08,691.25
21-10-08,688.5
22-10-08,663.0
23-10-08,667.25
24-10-08,628.75
27-10-08,629.75
28-10-08,622.0
29-10-08,657.75
30-10-08,628.75
31-10-08,636.5
03-11-08,642.0
04-11-08,674.25
05-11-08,650.25
06-11-08,616.0
07-11-08,622.75
10-11-08,629.25
11-11-08,607.0
12-11-08,586.75
13-11-08,574.25
14-11-08,578.5
17-11-08,580.0
18-11-08,555.75
19-11-08,547.25
20-11-08,529.75
21-11-08,520.75
24-11-08,553.5
25-11-08,532.75
26-11-08,544.75
27-11-08,542.25
28-11-08,525.5
01-12-08,512.75
02-12-08,497.25
03-12-08,488.0
04-12-08,489.75
05-12-08,447.5
08-12-08,457.0
09-12-08,452.75
10-12-08,440.25
11-12-08,466.25
12-12-08,458.0
15-12-08,484.5
16-12-08,468.5
17-12-08,470.25
18-12-08,455.25
19-12-08,446.0
22-12-08,441.0
23-12-08,418.0
24-12-08,404.0
26-12-08,402.0
29-12-08,407.0
30-12-08,416.0
31-12-08,418.5
02-01-09,434.75
05-01-09,484.0
06-01-09,517.75
07-01-09,504.25
08-01-09,482.75
09-01-09,460.25
12-01-09,453.0
13-01-09,477.0
14-01-09,457.5
15-01-09,457.75
16-01-09,463.5
19-01-09,437.5
20-01-09,447.0
21-01-09,429.25
22-01-09,420.75
23-01-09,416.75
26-01-09,456.0
27-01-09,429.5
28-01-09,438.25
29-01-09,443.0
30-01-09,449.5
02-02-09,433.75
03-02-09,427.75
04-02-09,428.5
05-02-09,424.5
06-02-09,420.5
09-02-09,442.75
10-02-09,434.0
11-02-09,418.75
12-02-09,415.75
13-02-09,410.75
16-02-09,398.25
17-02-09,379.0
18-02-09,365.25
19-02-09,370.75
20-02-09,364.0
23-02-09,375.5
24-02-09,372.75
25-02-09,376.75
26-02-09,400.25
27-02-09,386.5
02-03-09,372.5
03-03-09,368.25
04-03-09,390.0
05-03-09,374.25
06-03-09,372.75
09-03-09,390.0
10-03-09,392.75
11-03-09,372.5
12-03-09,368.25
13-03-09,390.0
16-03-09,381.25
17-03-09,399.75
18-03-09,402.0
19-03-09,427.75
20-03-09,435.75
23-03-09,467.5
24-03-09,468.25
25-03-09,465.75
26-03-09,463.25
27-03-09,455.25
30-03-09,439.25
31-03-09,420.0
01-04-09,421.5
02-04-09,458.25
03-04-09,451.0
06-04-09,448.5
07-04-09,449.0
08-04-09,457.5
09-04-09,452.75
13-04-09,436.0
14-04-09,451.75
15-04-09,447.5
16-04-09,457.0
17-04-09,458.5
20-04-09,431.0
21-04-09,429.0
22-04-09,424.25
23-04-09,421.0
24-04-09,433.0
27-04-09,421.0
28-04-09,419.75
29-04-09,427.5
30-04-09,428.0
01-05-09,444.25
04-05-09,456.25
05-05-09,455.5
06-05-09,467.75
07-05-09,483.0
08-05-09,482.0
11-05-09,481.5
12-05-09,483.25
13-05-09,483.75
14-05-09,472.75
15-05-09,467.5
18-05-09,466.25
19-05-09,469.75
20-05-09,481.5
21-05-09,476.75
22-05-09,479.5
25-05-09,479.75
26-05-09,481.25
27-05-09,487.5
28-05-09,504.5
29-05-09,523.0
01-06-09,549.5
02-06-09,567.5
03-06-09,554.75
04-06-09,566.75
05-06-09,562.5
08-06-09,560.0
09-06-09,569.0
10-06-09,578.5
11-06-09,588.75
12-06-09,582.0
15-06-09,570.5
16-06-09,589.0
17-06-09,579.0
18-06-09,585.0
19-06-09,583.25
22-06-09,548.0
23-06-09,550.25
24-06-09,564.5
25-06-09,568.0
26-06-09,557.5
29-06-09,569.75
30-06-09,557.0
01-07-09,567.5
02-07-09,545.5
03-07-09,539.25
06-07-09,527.0
07-07-09,514.0
08-07-09,497.0
09-07-09,490.75
10-07-09,485.75
13-07-09,483.5
14-07-09,491.25
15-07-09,502.75
16-07-09,515.5
17-07-09,526.5
20-07-09,538.5
21-07-09,552.25
22-07-09,546.5
23-07-09,562.75
24-07-09,568.5
27-07-09,575.0
28-07-09,564.75
29-07-09,543.0
30-07-09,564.75
31-07-09,570.5
03-08-09,598.5
04-08-09,602.25
05-08-09,613.0
06-08-09,617.0
07-08-09,613.75
10-08-09,611.25
11-08-09,600.25
12-08-09,604.75
13-08-09,608.0
14-08-09,590.25
17-08-09,569.5
18-08-09,582.25
19-08-09,600.5
20-08-09,603.75
21-08-09,601.75
24-08-09,610.5
25-08-09,603.0
26-08-09,580.75
27-08-09,581.0
28-08-09,596.75
31-08-09,562.75
01-09-09,572.5
02-09-09,561.75
03-09-09,554.75
04-09-09,545.5
07-09-09,553.25
08-09-09,575.0
09-09-09,579.0
10-09-09,567.75
11-09-09,564.25
14-09-09,551.75
15-09-09,552.0
16-09-09,562.5
17-09-09,586.75
18-09-09,579.0
21-09-09,559.25
22-09-09,572.0
23-09-09,557.5
24-09-09,539.25
25-09-09,534.5
28-09-09,542.25
29-09-09,537.25
30-09-09,552.0
01-10-09,570.5
02-10-09,561.25
05-10-09,552.0
06-10-09,576.5
07-10-09,569.25
08-10-09,572.75
09-10-09,580.5
12-10-09,593.0
13-10-09,597.0
14-10-09,605.75
15-10-09,616.0
16-10-09,625.25
19-10-09,633.0
20-10-09,637.5
21-10-09,649.0
22-10-09,653.75
23-10-09,644.75
26-10-09,636.5
27-10-09,640.75
28-10-09,624.75
29-10-09,644.0
30-10-09,624.75
02-11-09,635.25
03-11-09,633.75
04-11-09,649.25
05-11-09,648.0
06-11-09,617.25
09-11-09,638.75
10-11-09,637.5
11-11-09,635.25
12-11-09,615.25
13-11-09,611.0
16-11-09,628.5
17-11-09,631.25
18-11-09,643.0
19-11-09,621.0
20-11-09,609.25
23-11-09,628.25
24-11-09,601.75
25-11-09,609.25
26-11-09,610.75
27-11-09,605.0
30-11-09,614.25
01-12-09,644.75
02-12-09,629.75
03-12-09,633.5
04-12-09,635.5
07-12-09,622.0
08-12-09,614.5
09-12-09,607.5
10-12-09,587.0
11-12-09,582.0
14-12-09,588.25
15-12-09,590.25
16-12-09,603.25
17-12-09,591.75
18-12-09,595.25
21-12-09,601.75
22-12-09,586.75
23-12-09,611.0
24-12-09,607.0
28-12-09,627.75
29-12-09,629.5
30-12-09,636.25
31-12-09,635.5
04-01-10,659.75
05-01-10,665.25
06-01-10,668.5
07-01-10,667.75
08-01-10,663.5
11-01-10,664.0
12-01-10,658.25
13-01-10,636.0
14-01-10,636.25
15-01-10,630.0
18-01-10,623.5
19-01-10,615.5
20-01-10,614.25
21-01-10,612.25
22-01-10,597.5
25-01-10,594.25
26-01-10,596.25
27-01-10,597.25
28-01-10,583.5
29-01-10,586.5
01-02-10,593.5
02-02-10,609.0
03-02-10,624.0
04-02-10,595.5
05-02-10,582.25
08-02-10,574.5
09-02-10,579.5
10-02-10,584.25
11-02-10,596.0
12-02-10,583.75
15-02-10,584.0
16-02-10,611.25
17-02-10,611.0
18-02-10,624.5
19-02-10,631.0
22-02-10,637.25
23-02-10,628.75
24-02-10,630.75
25-02-10,612.75
26-02-10,628.75
01-03-10,636.5
02-03-10,640.75
03-03-10,649.25
04-03-10,645.25
05-03-10,655.25
08-03-10,653.0
09-03-10,653.0
10-03-10,666.75
11-03-10,665.25
12-03-10,665.75
15-03-10,649.25
16-03-10,672.25
17-03-10,675.75
18-03-10,673.75
19-03-10,658.75
22-03-10,662.25
23-03-10,670.25
24-03-10,660.75
25-03-10,664.25
26-03-10,660.25
29-03-10,679.5
30-03-10,674.5
31-03-10,683.75
01-04-10,701.0
05-04-10,718.5
06-04-10,723.5
07-04-10,715.25
08-04-10,707.0
09-04-10,707.5
12-04-10,712.5
13-04-10,700.0
14-04-10,714.5
15-04-10,715.75
16-04-10,705.5
19-04-10,687.75
20-04-10,700.5
21-04-10,700.75
22-04-10,705.5
23-04-10,718.5
26-04-10,719.5
27-04-10,719.0
28-04-10,710.25
29-04-10,728.25
30-04-10,731.75
03-05-10,746.5
04-05-10,727.75
05-05-10,702.75
06-05-10,687.0
07-05-10,661.75
10-05-10,675.75
11-05-10,682.0
12-05-10,678.75
13-05-10,682.75
14-05-10,662.25
17-05-10,637.25
18-05-10,638.25
19-05-10,617.75
20-05-10,601.75
21-05-10,610.25
24-05-10,604.25
25-05-10,592.5
26-05-10,609.0
27-05-10,633.0
