Date,CO1 COMB Comdty_PX_LAST
03-08-06,76.56
04-08-06,76.17
07-08-06,78.3
08-08-06,77.55
09-08-06,77.28
10-08-06,75.28
11-08-06,75.63
14-08-06,74.3
15-08-06,73.8
16-08-06,73.08
17-08-06,71.58
18-08-06,72.3
21-08-06,73.38
22-08-06,73.24
23-08-06,72.02
24-08-06,72.68
25-08-06,72.7
28-08-06,70.82
29-08-06,69.86
30-08-06,70.18
31-08-06,70.25
01-09-06,69.15
04-09-06,67.71
05-09-06,68.09
06-09-06,66.93
07-09-06,66.53
08-09-06,65.33
11-09-06,64.55
12-09-06,62.99
13-09-06,62.99
14-09-06,62.24
15-09-06,63.33
18-09-06,64.05
19-09-06,62.17
20-09-06,60.47
21-09-06,61.34
22-09-06,60.41
25-09-06,60.8
26-09-06,60.12
27-09-06,62.21
28-09-06,62.54
29-09-06,62.48
02-10-06,60.45
03-10-06,58.43
04-10-06,59.22
05-10-06,60.0
06-10-06,59.83
09-10-06,60.54
10-10-06,59.34
11-10-06,58.65
12-10-06,58.76
13-10-06,59.52
16-10-06,59.96
17-10-06,60.94
18-10-06,59.58
19-10-06,60.87
20-10-06,59.68
23-10-06,59.21
24-10-06,59.86
25-10-06,62.05
26-10-06,60.77
27-10-06,61.08
30-10-06,58.68
31-10-06,59.03
01-11-06,58.98
02-11-06,57.87
03-11-06,59.15
06-11-06,59.75
07-11-06,58.48
08-11-06,59.59
09-11-06,61.32
10-11-06,59.71
13-11-06,59.05
14-11-06,58.84
15-11-06,59.46
16-11-06,58.54
17-11-06,58.99
20-11-06,58.98
21-11-06,60.39
22-11-06,59.49
23-11-06,59.35
24-11-06,60.03
27-11-06,60.44
28-11-06,61.21
29-11-06,63.07
30-11-06,64.26
01-12-06,64.62
04-12-06,63.45
05-12-06,63.32
06-12-06,63.07
07-12-06,62.57
08-12-06,62.2
11-12-06,61.84
12-12-06,61.52
13-12-06,61.33
14-12-06,62.12
15-12-06,63.49
18-12-06,62.13
19-12-06,62.81
20-12-06,63.23
21-12-06,62.46
22-12-06,62.42
26-12-06,61.1
27-12-06,60.52
28-12-06,60.67
29-12-06,60.86
02-01-07,60.44
03-01-07,57.96
04-01-07,55.11
05-01-07,55.64
08-01-07,55.6
09-01-07,55.18
10-01-07,53.69
11-01-07,51.7
12-01-07,52.95
15-01-07,53.12
16-01-07,52.26
17-01-07,52.78
18-01-07,51.75
19-01-07,53.44
22-01-07,52.7
23-01-07,55.1
24-01-07,55.43
25-01-07,54.12
26-01-07,55.29
29-01-07,53.68
30-01-07,56.39
31-01-07,57.4
01-02-07,56.72
02-02-07,58.41
05-02-07,58.1
06-02-07,58.42
07-02-07,57.23
08-02-07,59.03
09-02-07,59.01
12-02-07,56.6
13-02-07,57.03
14-02-07,57.43
15-02-07,57.6
16-02-07,58.95
19-02-07,58.14
20-02-07,57.98
21-02-07,59.35
22-02-07,60.62
23-02-07,60.88
26-02-07,61.33
27-02-07,61.36
28-02-07,61.89
01-03-07,62.11
02-03-07,62.08
05-03-07,60.54
06-03-07,61.39
07-03-07,62.5
08-03-07,62.33
09-03-07,61.13
12-03-07,60.74
13-03-07,60.9
14-03-07,61.06
15-03-07,60.98
16-03-07,60.3
19-03-07,60.52
20-03-07,60.2
21-03-07,60.77
22-03-07,62.51
23-03-07,63.18
26-03-07,64.41
27-03-07,64.6
28-03-07,65.78
29-03-07,67.88
30-03-07,68.1
02-04-07,68.74
03-04-07,67.81
04-04-07,68.4
05-04-07,68.24
09-04-07,66.59
10-04-07,67.42
11-04-07,67.84
12-04-07,68.72
13-04-07,68.97
16-04-07,67.25
17-04-07,65.93
18-04-07,66.04
19-04-07,65.94
20-04-07,66.49
23-04-07,68.15
24-04-07,67.16
25-04-07,68.57
26-04-07,67.65
27-04-07,68.41
30-04-07,67.65
01-05-07,67.0
02-05-07,66.25
03-05-07,66.05
04-05-07,65.31
07-05-07,64.44
08-05-07,65.54
09-05-07,65.2
10-05-07,65.79
11-05-07,66.83
14-05-07,66.83
15-05-07,68.11
16-05-07,68.01
17-05-07,70.27
18-05-07,69.42
21-05-07,70.49
22-05-07,69.52
23-05-07,70.6
24-05-07,70.72
25-05-07,70.69
28-05-07,69.71
29-05-07,68.13
30-05-07,67.84
31-05-07,68.04
01-06-07,69.07
04-06-07,70.4
05-06-07,70.45
06-06-07,71.02
07-06-07,71.22
08-06-07,68.6
11-06-07,69.56
12-06-07,68.79
13-06-07,69.94
14-06-07,70.96
15-06-07,71.47
18-06-07,72.18
19-06-07,71.84
20-06-07,70.42
21-06-07,70.22
22-06-07,71.18
25-06-07,71.36
26-06-07,70.17
27-06-07,70.53
28-06-07,70.52
29-06-07,71.41
02-07-07,72.63
03-07-07,72.93
04-07-07,73.05
05-07-07,74.75
06-07-07,75.62
09-07-07,75.78
10-07-07,76.4
11-07-07,75.44
12-07-07,76.4
13-07-07,77.57
16-07-07,77.33
17-07-07,75.53
18-07-07,76.76
19-07-07,77.67
20-07-07,77.64
23-07-07,76.86
24-07-07,75.08
25-07-07,76.32
26-07-07,75.18
27-07-07,76.26
30-07-07,75.74
31-07-07,77.05
01-08-07,75.35
02-08-07,75.76
03-08-07,74.75
06-08-07,71.17
07-08-07,71.8
08-08-07,70.99
09-08-07,70.21
10-08-07,70.39
13-08-07,70.23
14-08-07,70.51
15-08-07,71.64
16-08-07,69.42
17-08-07,70.44
20-08-07,69.85
21-08-07,68.69
22-08-07,68.7
23-08-07,69.86
24-08-07,70.62
27-08-07,70.95
28-08-07,70.55
29-08-07,72.13
30-08-07,71.9
31-08-07,72.69
03-09-07,73.41
04-09-07,73.92
05-09-07,74.34
06-09-07,74.77
07-09-07,75.07
10-09-07,75.48
11-09-07,76.38
12-09-07,77.68
13-09-07,77.4
14-09-07,76.22
17-09-07,76.98
18-09-07,77.59
19-09-07,78.47
20-09-07,79.09
21-09-07,79.3
24-09-07,78.91
25-09-07,77.62
26-09-07,77.43
27-09-07,80.03
28-09-07,79.17
01-10-07,77.64
02-10-07,77.38
03-10-07,77.19
04-10-07,78.97
05-10-07,78.9
08-10-07,76.58
09-10-07,77.49
10-10-07,78.6
11-10-07,80.15
12-10-07,80.55
15-10-07,82.75
16-10-07,84.16
17-10-07,83.13
18-10-07,84.6
19-10-07,83.79
22-10-07,83.27
23-10-07,82.85
24-10-07,84.37
25-10-07,87.48
26-10-07,88.69
29-10-07,90.32
30-10-07,87.44
31-10-07,90.63
01-11-07,89.72
02-11-07,92.08
05-11-07,90.49
06-11-07,93.26
07-11-07,93.24
08-11-07,92.79
09-11-07,93.18
12-11-07,91.98
13-11-07,88.83
14-11-07,91.36
15-11-07,90.94
16-11-07,91.62
19-11-07,92.28
20-11-07,95.49
21-11-07,94.84
22-11-07,94.5
23-11-07,95.76
26-11-07,95.32
27-11-07,92.52
28-11-07,89.81
29-11-07,90.22
30-11-07,88.26
03-12-07,89.8
04-12-07,89.53
05-12-07,88.49
06-12-07,90.18
07-12-07,88.64
10-12-07,88.04
11-12-07,89.99
12-12-07,94.02
13-12-07,92.12
14-12-07,92.67
17-12-07,91.29
18-12-07,90.12
19-12-07,91.48
20-12-07,90.88
21-12-07,92.46
24-12-07,92.7
26-12-07,93.94
27-12-07,94.78
28-12-07,93.88
31-12-07,93.85
02-01-08,97.84
03-01-08,97.6
04-01-08,96.79
07-01-08,94.39
08-01-08,95.54
09-01-08,94.37
10-01-08,92.22
11-01-08,91.07
14-01-08,92.92
15-01-08,90.98
16-01-08,89.75
17-01-08,88.75
18-01-08,89.23
21-01-08,87.51
22-01-08,88.45
23-01-08,86.62
24-01-08,89.07
25-01-08,90.9
28-01-08,91.38
29-01-08,92.0
30-01-08,92.53
31-01-08,92.21
01-02-08,89.44
04-02-08,90.47
05-02-08,88.82
06-02-08,87.78
07-02-08,88.51
08-02-08,91.94
11-02-08,93.53
12-02-08,92.86
13-02-08,93.32
14-02-08,95.09
15-02-08,94.63
18-02-08,94.91
19-02-08,98.56
20-02-08,98.42
21-02-08,96.24
22-02-08,97.01
25-02-08,97.69
26-02-08,99.47
27-02-08,98.27
28-02-08,100.9
29-02-08,100.1
03-03-08,100.48
04-03-08,97.52
05-03-08,101.64
06-03-08,102.61
07-03-08,102.38
10-03-08,104.16
11-03-08,105.25
12-03-08,106.27
13-03-08,107.54
14-03-08,107.55
17-03-08,101.75
18-03-08,105.56
19-03-08,100.72
20-03-08,100.38
24-03-08,99.86
25-03-08,100.6
26-03-08,103.99
27-03-08,105.0
28-03-08,103.77
31-03-08,100.3
01-04-08,100.17
02-04-08,103.75
03-04-08,102.52
04-04-08,104.9
07-04-08,107.14
08-04-08,106.34
09-04-08,108.47
10-04-08,108.2
11-04-08,108.75
14-04-08,109.84
15-04-08,111.31
16-04-08,112.66
17-04-08,112.43
18-04-08,113.92
21-04-08,114.43
22-04-08,115.95
23-04-08,116.46
24-04-08,114.34
25-04-08,116.34
28-04-08,116.74
29-04-08,113.43
30-04-08,111.36
01-05-08,110.5
02-05-08,114.56
05-05-08,117.99
06-05-08,120.31
07-05-08,122.32
08-05-08,122.84
09-05-08,125.4
12-05-08,122.91
13-05-08,124.1
14-05-08,121.86
15-05-08,121.25
16-05-08,124.99
19-05-08,125.06
20-05-08,127.84
21-05-08,132.7
22-05-08,130.51
23-05-08,131.57
26-05-08,132.37
27-05-08,128.31
28-05-08,130.93
29-05-08,126.89
30-05-08,127.78
02-06-08,128.02
03-06-08,124.58
04-06-08,122.1
05-06-08,127.54
06-06-08,137.69
09-06-08,133.91
10-06-08,131.02
11-06-08,135.02
12-06-08,136.09
13-06-08,134.25
16-06-08,134.71
17-06-08,133.72
18-06-08,136.44
19-06-08,132.0
20-06-08,134.86
23-06-08,135.91
24-06-08,136.46
25-06-08,134.33
26-06-08,139.83
27-06-08,140.31
30-06-08,139.83
01-07-08,140.67
02-07-08,144.26
03-07-08,146.08
04-07-08,144.42
07-07-08,141.87
08-07-08,136.43
09-07-08,136.58
10-07-08,142.03
11-07-08,144.49
14-07-08,143.92
15-07-08,138.75
16-07-08,136.19
17-07-08,131.07
18-07-08,130.19
21-07-08,132.61
22-07-08,129.55
23-07-08,125.29
24-07-08,126.44
25-07-08,124.52
28-07-08,125.84
29-07-08,122.71
30-07-08,127.1
31-07-08,123.98
01-08-08,124.18
04-08-08,120.68
05-08-08,117.7
06-08-08,117.0
07-08-08,117.86
08-08-08,113.33
11-08-08,112.67
12-08-08,111.15
13-08-08,113.47
14-08-08,112.64
15-08-08,112.55
18-08-08,111.94
19-08-08,113.25
20-08-08,114.36
21-08-08,120.16
22-08-08,113.92
25-08-08,114.03
26-08-08,114.63
27-08-08,116.22
28-08-08,114.17
29-08-08,114.05
01-09-08,109.41
02-09-08,108.34
03-09-08,108.06
04-09-08,106.3
05-09-08,104.09
08-09-08,103.44
09-09-08,100.34
10-09-08,98.97
11-09-08,97.64
12-09-08,97.58
15-09-08,92.38
16-09-08,89.22
17-09-08,94.84
18-09-08,95.19
19-09-08,99.61
22-09-08,106.04
23-09-08,103.08
24-09-08,102.45
25-09-08,104.6
26-09-08,103.54
29-09-08,93.98
30-09-08,98.17
01-10-08,95.33
02-10-08,90.56
03-10-08,90.25
06-10-08,83.68
07-10-08,84.66
08-10-08,84.36
09-10-08,82.66
10-10-08,74.09
13-10-08,77.46
14-10-08,74.53
15-10-08,70.8
16-10-08,66.32
17-10-08,69.6
20-10-08,72.03
21-10-08,69.72
22-10-08,64.52
23-10-08,65.92
24-10-08,62.05
27-10-08,61.41
28-10-08,60.29
29-10-08,65.47
30-10-08,63.71
31-10-08,65.32
03-11-08,60.48
04-11-08,66.44
05-11-08,61.87
06-11-08,57.43
07-11-08,57.35
10-11-08,59.08
11-11-08,55.71
12-11-08,52.37
13-11-08,51.99
14-11-08,54.24
17-11-08,52.31
18-11-08,51.84
19-11-08,51.72
20-11-08,48.08
21-11-08,49.19
24-11-08,53.93
25-11-08,50.35
26-11-08,53.92
27-11-08,53.13
28-11-08,53.49
01-12-08,47.97
02-12-08,45.44
03-12-08,45.44
04-12-08,42.28
05-12-08,39.74
08-12-08,43.42
09-12-08,41.53
10-12-08,42.4
11-12-08,47.39
12-12-08,46.41
15-12-08,44.6
16-12-08,44.56
17-12-08,45.53
18-12-08,43.36
19-12-08,44.0
22-12-08,41.45
23-12-08,40.36
24-12-08,36.61
26-12-08,38.37
29-12-08,40.55
30-12-08,40.15
31-12-08,45.59
02-01-09,46.91
05-01-09,49.62
06-01-09,50.53
07-01-09,45.86
08-01-09,44.67
09-01-09,44.42
12-01-09,42.91
13-01-09,44.83
14-01-09,45.08
15-01-09,44.69
16-01-09,46.57
19-01-09,44.5
20-01-09,43.62
21-01-09,45.02
22-01-09,45.39
23-01-09,48.37
26-01-09,46.96
27-01-09,43.73
28-01-09,44.9
29-01-09,45.4
30-01-09,45.88
02-02-09,43.82
03-02-09,44.08
04-02-09,44.15
05-02-09,46.46
06-02-09,46.21
09-02-09,46.02
10-02-09,44.61
11-02-09,44.28
12-02-09,44.65
13-02-09,44.81
16-02-09,43.28
17-02-09,41.03
18-02-09,39.55
19-02-09,41.99
20-02-09,41.89
23-02-09,40.99
24-02-09,42.5
25-02-09,44.29
26-02-09,46.51
27-02-09,46.35
02-03-09,42.21
03-03-09,43.7
04-03-09,46.12
05-03-09,43.64
06-03-09,44.85
09-03-09,44.13
10-03-09,43.96
11-03-09,41.4
12-03-09,45.09
13-03-09,44.93
16-03-09,43.98
17-03-09,48.24
18-03-09,47.66
19-03-09,50.67
20-03-09,51.22
23-03-09,53.47
24-03-09,53.5
25-03-09,51.75
26-03-09,53.46
27-03-09,51.98
30-03-09,47.99
31-03-09,49.23
01-04-09,48.44
02-04-09,52.75
03-04-09,53.47
06-04-09,52.24
07-04-09,51.22
08-04-09,51.59
09-04-09,54.06
13-04-09,52.14
14-04-09,51.96
15-04-09,51.79
16-04-09,53.06
17-04-09,53.35
20-04-09,49.86
21-04-09,49.82
22-04-09,49.81
23-04-09,50.11
24-04-09,51.67
27-04-09,50.32
28-04-09,49.99
29-04-09,50.78
30-04-09,50.8
01-05-09,52.85
04-05-09,54.58
05-05-09,54.12
06-05-09,56.15
07-05-09,56.47
08-05-09,58.14
11-05-09,57.48
12-05-09,57.94
13-05-09,57.34
14-05-09,56.69
15-05-09,55.98
18-05-09,58.47
19-05-09,58.92
20-05-09,60.59
21-05-09,59.93
22-05-09,60.78
25-05-09,60.21
26-05-09,61.24
27-05-09,62.5
28-05-09,64.39
29-05-09,65.52
01-06-09,67.97
02-06-09,68.17
03-06-09,65.88
04-06-09,68.71
05-06-09,68.34
08-06-09,67.88
09-06-09,69.62
10-06-09,70.8
11-06-09,71.79
12-06-09,70.92
15-06-09,69.44
16-06-09,70.24
17-06-09,70.85
18-06-09,71.06
19-06-09,69.19
22-06-09,66.98
23-06-09,68.8
24-06-09,68.33
25-06-09,69.78
26-06-09,68.92
29-06-09,70.99
30-06-09,69.3
01-07-09,68.79
02-07-09,66.65
03-07-09,65.61
06-07-09,64.05
07-07-09,63.23
08-07-09,60.43
09-07-09,61.1
10-07-09,60.52
13-07-09,60.69
14-07-09,60.86
15-07-09,63.09
16-07-09,62.75
17-07-09,65.38
20-07-09,66.44
21-07-09,66.87
22-07-09,67.21
23-07-09,69.25
24-07-09,70.32
27-07-09,70.81
28-07-09,69.88
29-07-09,66.53
30-07-09,70.11
31-07-09,71.7
03-08-09,73.55
04-08-09,74.28
05-08-09,75.51
06-08-09,74.83
07-08-09,73.59
10-08-09,73.5
11-08-09,72.46
12-08-09,72.89
13-08-09,73.48
14-08-09,72.41
17-08-09,70.54
18-08-09,72.37
19-08-09,74.59
20-08-09,73.33
21-08-09,74.19
24-08-09,74.26
25-08-09,71.82
26-08-09,71.65
27-08-09,72.51
28-08-09,72.79
31-08-09,69.65
01-09-09,67.73
02-09-09,67.66
03-09-09,67.12
04-09-09,66.82
07-09-09,66.53
08-09-09,69.42
09-09-09,69.83
10-09-09,69.86
11-09-09,67.69
14-09-09,67.44
15-09-09,67.35
16-09-09,71.67
17-09-09,71.55
18-09-09,71.32
21-09-09,68.69
22-09-09,70.53
23-09-09,67.99
24-09-09,64.82
25-09-09,65.11
28-09-09,65.54
29-09-09,65.49
30-09-09,69.07
01-10-09,69.19
02-10-09,68.07
05-10-09,68.04
06-10-09,68.56
07-10-09,67.2
08-10-09,69.77
09-10-09,70.0
12-10-09,71.36
13-10-09,72.4
14-10-09,73.1
15-10-09,74.45
16-10-09,76.99
19-10-09,77.77
20-10-09,77.24
21-10-09,79.69
22-10-09,79.51
23-10-09,78.92
26-10-09,77.26
27-10-09,77.92
28-10-09,75.86
29-10-09,78.04
30-10-09,75.2
02-11-09,76.55
03-11-09,78.11
04-11-09,78.89
05-11-09,77.99
06-11-09,75.87
09-11-09,77.77
10-11-09,77.5
11-11-09,77.95
12-11-09,76.02
13-11-09,75.55
16-11-09,78.76
17-11-09,78.97
18-11-09,79.47
19-11-09,77.64
20-11-09,77.2
23-11-09,77.46
24-11-09,76.46
25-11-09,78.44
26-11-09,76.99
27-11-09,77.18
30-11-09,78.47
01-12-09,79.35
02-12-09,77.88
03-12-09,78.36
04-12-09,77.52
07-12-09,76.43
08-12-09,75.19
09-12-09,72.39
10-12-09,71.86
11-12-09,71.88
14-12-09,71.89
15-12-09,72.05
16-12-09,73.55
17-12-09,73.37
18-12-09,73.75
21-12-09,72.99
22-12-09,73.46
23-12-09,75.45
24-12-09,76.31
28-12-09,77.32
29-12-09,77.64
30-12-09,78.03
31-12-09,77.93
04-01-10,80.12
05-01-10,80.59
06-01-10,81.89
07-01-10,81.51
08-01-10,81.37
11-01-10,80.97
12-01-10,79.3
13-01-10,78.31
14-01-10,77.82
15-01-10,77.11
18-01-10,77.1
19-01-10,77.63
20-01-10,76.32
21-01-10,74.58
22-01-10,72.83
25-01-10,73.69
26-01-10,73.29
27-01-10,72.24
28-01-10,72.13
29-01-10,71.46
01-02-10,73.11
02-02-10,76.06
03-02-10,75.92
04-02-10,72.13
05-02-10,69.59
08-02-10,70.11
09-02-10,72.13
10-02-10,72.54
11-02-10,73.05
12-02-10,72.9
15-02-10,72.51
16-02-10,75.68
17-02-10,76.27
18-02-10,77.78
19-02-10,78.19
22-02-10,78.61
23-02-10,77.25
24-02-10,78.09
25-02-10,76.29
26-02-10,77.59
01-03-10,76.89
02-03-10,78.18
03-03-10,79.25
04-03-10,78.54
05-03-10,79.89
08-03-10,80.47
09-03-10,79.91
10-03-10,80.48
11-03-10,80.28
12-03-10,79.39
15-03-10,77.89
16-03-10,79.02
17-03-10,81.96
18-03-10,81.48
19-03-10,79.88
22-03-10,80.54
23-03-10,80.7
24-03-10,79.62
25-03-10,79.61
26-03-10,79.29
29-03-10,81.17
30-03-10,81.28
31-03-10,82.7
01-04-10,84.01
05-04-10,85.88
06-04-10,86.15
07-04-10,85.59
08-04-10,84.81
09-04-10,84.83
12-04-10,84.77
13-04-10,84.72
14-04-10,86.15
15-04-10,87.17
16-04-10,85.99
19-04-10,84.23
20-04-10,84.8
21-04-10,85.7
22-04-10,85.67
23-04-10,87.25
26-04-10,86.83
27-04-10,85.78
28-04-10,86.16
29-04-10,86.9
30-04-10,87.44
03-05-10,88.94
04-05-10,85.67
05-05-10,82.61
06-05-10,79.83
07-05-10,78.27
10-05-10,80.12
11-05-10,80.49
12-05-10,81.2
13-05-10,80.11
14-05-10,77.18
17-05-10,75.1
18-05-10,74.43
19-05-10,73.69
20-05-10,71.84
21-05-10,71.68
24-05-10,71.17
25-05-10,69.55
26-05-10,71.74
27-05-10,74.66
28-05-10,74.02
31-05-10,74.65
01-06-10,72.71
02-06-10,73.75
03-06-10,75.41
04-06-10,72.09
07-06-10,72.12
08-06-10,72.3
